Location,Year,Age,Sex,Cause,Measure,Value,Lower bound,Upper bound
East Asia & Pacific,2015,Under 5 years,Both,Esophageal cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Stomach cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Liver cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Larynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Breast cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Cervical cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Uterine cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Prostate cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Colon and rectum cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Lip and oral cavity cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Nasopharynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Other pharynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Pancreatic cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Malignant skin melanoma,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Non-melanoma skin cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Ovarian cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Testicular cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Kidney cancer,Percent of total DALYs,0.000907556,0.000773796,0.001075237
East Asia & Pacific,2015,Under 5 years,Both,Bladder cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Brain and nervous system cancer,Percent of total DALYs,0.002944279,0.002433138,0.003642387
East Asia & Pacific,2015,Under 5 years,Both,Thyroid cancer,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Mesothelioma,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Hodgkin lymphoma,Percent of total DALYs,0.000118222,9.27E-05,0.000144381
East Asia & Pacific,2015,Under 5 years,Both,Multiple myeloma,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Leukemia,Percent of total DALYs,0.00781251,0.006610495,0.009309155
East Asia & Pacific,2015,Under 5 years,Both,Other neoplasms,Percent of total DALYs,0.003749385,0.003290745,0.004295376
East Asia & Pacific,2015,Under 5 years,Both,Rheumatic heart disease,Percent of total DALYs,0.000708305,0.000591971,0.000870089
East Asia & Pacific,2015,Under 5 years,Both,Ischemic heart disease,Percent of total DALYs,0.000222946,0.000190843,0.000269935
East Asia & Pacific,2015,Under 5 years,Both,Cerebrovascular disease,Percent of total DALYs,0.003805745,0.003408166,0.004732637
East Asia & Pacific,2015,Under 5 years,Both,Hypertensive heart disease,Percent of total DALYs,4.78E-05,4.22E-05,5.54E-05
East Asia & Pacific,2015,Under 5 years,Both,Cardiomyopathy and myocarditis,Percent of total DALYs,0.003981148,0.003418724,0.004367233
East Asia & Pacific,2015,Under 5 years,Both,Atrial fibrillation and flutter,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Aortic aneurysm,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Peripheral vascular disease,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Endocarditis,Percent of total DALYs,0.001086141,0.000891935,0.001381575
East Asia & Pacific,2015,Under 5 years,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.005603746,0.004647028,0.007113519
East Asia & Pacific,2015,Under 5 years,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.002131209,0.001413709,0.003249618
East Asia & Pacific,2015,Under 5 years,Both,Pneumoconiosis,Percent of total DALYs,5.40E-06,3.28E-06,7.95E-06
East Asia & Pacific,2015,Under 5 years,Both,Asthma,Percent of total DALYs,0.005733055,0.004275327,0.007764047
East Asia & Pacific,2015,Under 5 years,Both,Other chronic respiratory diseases,Percent of total DALYs,0.003414058,0.002527731,0.004572974
East Asia & Pacific,2015,Under 5 years,Both,Peptic ulcer disease,Percent of total DALYs,0.000116046,7.50E-05,0.000180844
East Asia & Pacific,2015,Under 5 years,Both,Gastritis and duodenitis,Percent of total DALYs,0.000198994,0.000148062,0.00026202
East Asia & Pacific,2015,Under 5 years,Both,Appendicitis,Percent of total DALYs,0.000207374,0.000132028,0.000330031
East Asia & Pacific,2015,Under 5 years,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.001466716,0.000798305,0.002682915
East Asia & Pacific,2015,Under 5 years,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.000114387,7.76E-05,0.000184679
East Asia & Pacific,2015,Under 5 years,Both,Inflammatory bowel disease,Percent of total DALYs,0.00039487,0.00025339,0.000535396
East Asia & Pacific,2015,Under 5 years,Both,Vascular intestinal disorders,Percent of total DALYs,2.73E-05,1.76E-05,4.20E-05
East Asia & Pacific,2015,Under 5 years,Both,Gallbladder and biliary diseases,Percent of total DALYs,0.000144177,0.000092323,0.000240059
East Asia & Pacific,2015,Under 5 years,Both,Pancreatitis,Percent of total DALYs,4.17E-05,2.94E-05,6.04E-05
East Asia & Pacific,2015,Under 5 years,Both,Other digestive diseases,Percent of total DALYs,0.000898036,0.000609977,0.001304754
East Asia & Pacific,2015,Under 5 years,Both,Alzheimer disease and other dementias,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Parkinson disease,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Epilepsy,Percent of total DALYs,0.004449135,0.003576418,0.00548858
East Asia & Pacific,2015,Under 5 years,Both,Multiple sclerosis,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Migraine,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Medication overuse headache,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Motor neuron disease,Percent of total DALYs,0.000293331,0.000253631,0.000370544
East Asia & Pacific,2015,Under 5 years,Both,Other neurological disorders,Percent of total DALYs,0.001114139,0.000967112,0.001351937
East Asia & Pacific,2015,Under 5 years,Both,Schizophrenia,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Alcohol use disorders,Percent of total DALYs,1.67E-05,1.08E-05,2.49E-05
East Asia & Pacific,2015,Under 5 years,Both,Drug use disorders,Percent of total DALYs,0.000012402,1.07E-05,1.47E-05
East Asia & Pacific,2015,Under 5 years,Both,Depressive disorders,Percent of total DALYs,0.000006991,3.10E-06,1.29E-05
East Asia & Pacific,2015,Under 5 years,Both,Bipolar disorder,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Anxiety disorders,Percent of total DALYs,0.000328856,0.000205686,0.000482257
East Asia & Pacific,2015,Under 5 years,Both,Eating disorders,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Autistic spectrum disorders,Percent of total DALYs,0.003226603,0.002172275,0.004615879
East Asia & Pacific,2015,Under 5 years,Both,Conduct disorder,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Other mental and substance use disorders,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Diabetes mellitus,Percent of total DALYs,0.000322557,0.000290046,0.000362632
East Asia & Pacific,2015,Under 5 years,Both,Acute glomerulonephritis,Percent of total DALYs,0.000143953,9.11E-05,0.000178421
East Asia & Pacific,2015,Under 5 years,Both,Chronic kidney disease,Percent of total DALYs,0.001591649,0.001369185,0.001892855
East Asia & Pacific,2015,Under 5 years,Both,Urinary diseases and male infertility,Percent of total DALYs,0.000979535,0.000856555,0.00127296
East Asia & Pacific,2015,Under 5 years,Both,Gynecological diseases,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Hemoglobinopathies and hemolytic anemias,Percent of total DALYs,0.008296065,0.006507332,0.010379294
East Asia & Pacific,2015,Under 5 years,Both,Rheumatoid arthritis,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Osteoarthritis,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Low back and neck pain,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Gout,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Other musculoskeletal disorders,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Congenital anomalies,Percent of total DALYs,0.160488394,0.140162856,0.184884059
East Asia & Pacific,2015,Under 5 years,Both,Skin and subcutaneous diseases,Percent of total DALYs,0.021987108,0.014521451,0.031440389
East Asia & Pacific,2015,Under 5 years,Both,Sense organ diseases,Percent of total DALYs,0.005353703,0.003556478,0.007629704
East Asia & Pacific,2015,Under 5 years,Both,Oral disorders,Percent of total DALYs,0.00035727,0.000158993,0.000689183
East Asia & Pacific,2015,Under 5 years,Both,Sudden infant death syndrome,Percent of total DALYs,0.003769989,0.002812633,0.005669656
East Asia & Pacific,2015,Under 5 years,Both,Road injuries,Percent of total DALYs,0.014945759,0.012466463,0.017558661
East Asia & Pacific,2015,Under 5 years,Both,Other transport injuries,Percent of total DALYs,0.001011479,0.000822092,0.001374894
East Asia & Pacific,2015,Under 5 years,Both,Falls,Percent of total DALYs,0.006462685,0.003987183,0.008119363
East Asia & Pacific,2015,Under 5 years,Both,Drowning,Percent of total DALYs,0.022476029,0.019056975,0.026302205
East Asia & Pacific,2015,Under 5 years,Both,"Fire, heat, and hot substances",Percent of total DALYs,0.002920782,0.002253992,0.00347949
East Asia & Pacific,2015,Under 5 years,Both,Poisonings,Percent of total DALYs,0.002129797,0.000748499,0.003117123
East Asia & Pacific,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,7.42E-06,5.48E-06,1.01E-05
East Asia & Pacific,2015,Under 5 years,Both,Adverse effects of medical treatment,Percent of total DALYs,0.004392884,0.003599788,0.005316252
East Asia & Pacific,2015,Under 5 years,Both,Animal contact,Percent of total DALYs,0.000581765,0.000483828,0.000720455
East Asia & Pacific,2015,Under 5 years,Both,Foreign body,Percent of total DALYs,0.010176281,0.007592934,0.012182472
East Asia & Pacific,2015,Under 5 years,Both,Other unintentional injuries,Percent of total DALYs,0.00164629,0.001448968,0.001897212
East Asia & Pacific,2015,Under 5 years,Both,Self-harm,Percent of total DALYs,6.00E-06,3.76E-06,8.84E-06
East Asia & Pacific,2015,Under 5 years,Both,Interpersonal violence,Percent of total DALYs,0.002599268,0.002167031,0.003346756
Europe & Central Asia,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,5.90E-06,4.37E-06,7.79E-06
East Asia & Pacific,2015,Under 5 years,Both,Collective violence and legal intervention,Percent of total DALYs,4.79E-05,1.50E-05,8.13E-05
Latin America & Caribbean,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,3.31E-06,2.46E-06,4.27E-06
Middle East & North Africa,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,9.49E-06,6.41E-06,1.34E-05
East Asia & Pacific,2015,Under 5 years,Both,Ebola,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Tuberculosis,Percent of total DALYs,0.000625842,0.000518668,0.000804099
North America,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,1.07E-06,7.70E-07,1.41E-06
Europe & Central Asia,2015,Under 5 years,Both,Diarrheal diseases,Percent of total DALYs,0.023494575,0.019754777,0.027507208
Europe & Central Asia,2015,Under 5 years,Both,Intestinal infectious diseases,Percent of total DALYs,0.000433399,0.000212151,0.000813011
Europe & Central Asia,2015,Under 5 years,Both,Lower respiratory infections,Percent of total DALYs,0.128131811,0.112042789,0.144354085
Europe & Central Asia,2015,Under 5 years,Both,Upper respiratory infections,Percent of total DALYs,0.003552015,0.001972306,0.005931908
Europe & Central Asia,2015,Under 5 years,Both,Otitis media,Percent of total DALYs,0.004522532,0.003010891,0.006585451
Europe & Central Asia,2015,Under 5 years,Both,Meningitis,Percent of total DALYs,0.010281454,0.008745138,0.013098972
Europe & Central Asia,2015,Under 5 years,Both,Encephalitis,Percent of total DALYs,0.007059669,0.00602009,0.008402648
Europe & Central Asia,2015,Under 5 years,Both,Diphtheria,Percent of total DALYs,2.35E-05,0.000012485,4.12E-05
Europe & Central Asia,2015,Under 5 years,Both,Whooping cough,Percent of total DALYs,0.001844589,0.000667226,0.004858605
Europe & Central Asia,2015,Under 5 years,Both,Tetanus,Percent of total DALYs,4.73E-05,3.58E-05,6.31E-05
Europe & Central Asia,2015,Under 5 years,Both,Measles,Percent of total DALYs,0.000501826,9.40E-05,0.001806367
Europe & Central Asia,2015,Under 5 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000329938,0.000210881,0.000453559
Europe & Central Asia,2015,Under 5 years,Both,Malaria,Percent of total DALYs,1.21E-05,6.81E-06,2.14E-05
Europe & Central Asia,2015,Under 5 years,Both,Chagas disease,Percent of total DALYs,2.13E-10,1.34E-10,3.16E-10
Europe & Central Asia,2015,Under 5 years,Both,Leishmaniasis,Percent of total DALYs,0.000169552,0.000121188,0.000238757
Europe & Central Asia,2015,Under 5 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Schistosomiasis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Cysticercosis,Percent of total DALYs,1.04E-08,6.00E-09,1.67E-08
Europe & Central Asia,2015,Under 5 years,Both,Cystic echinococcosis,Percent of total DALYs,4.21E-05,3.12E-05,5.61E-05
Europe & Central Asia,2015,Under 5 years,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Trachoma,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Dengue,Percent of total DALYs,9.31E-07,3.38E-07,2.24E-06
Europe & Central Asia,2015,Under 5 years,Both,Yellow fever,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Rabies,Percent of total DALYs,8.59E-06,5.20E-06,1.43E-05
Europe & Central Asia,2015,Under 5 years,Both,Intestinal nematode infections,Percent of total DALYs,0.000133566,0.000066055,0.000234673
South Asia,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,1.76E-05,1.32E-05,2.43E-05
Europe & Central Asia,2015,Under 5 years,Both,Other neglected tropical diseases,Percent of total DALYs,0.001800947,0.001274141,0.00246867
Europe & Central Asia,2015,Under 5 years,Both,Maternal hemorrhage,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Maternal hypertensive disorders,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,0,0,0
SubSaharan Africa,2015,Under 5 years,Both,Cirrhosis hepatitis B,Percent of total DALYs,1.05E-05,6.58E-06,1.61E-05
Europe & Central Asia,2015,Under 5 years,Both,Indirect maternal deaths,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Late maternal deaths,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Other maternal disorders,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.153078714,0.136644776,0.17132063
Europe & Central Asia,2015,Under 5 years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.100606289,0.087410616,0.116382138
Europe & Central Asia,2015,Under 5 years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.031213311,0.020646578,0.041884778
East Asia & Pacific,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,2.81E-06,1.84E-06,4.00E-06
Europe & Central Asia,2015,Under 5 years,Both,Other neonatal disorders,Percent of total DALYs,0.060523159,0.050729704,0.072129483
Europe & Central Asia,2015,Under 5 years,Both,Protein-energy malnutrition,Percent of total DALYs,0.006827839,0.004745865,0.009775167
Europe & Central Asia,2015,Under 5 years,Both,Iodine deficiency,Percent of total DALYs,0.000190173,8.57E-05,0.000327423
Europe & Central Asia,2015,Under 5 years,Both,Vitamin A deficiency,Percent of total DALYs,9.47E-06,4.29E-06,1.71E-05
Europe & Central Asia,2015,Under 5 years,Both,Iron-deficiency anemia,Percent of total DALYs,0.041005479,0.027918676,0.058469469
Europe & Central Asia,2015,Under 5 years,Both,Other nutritional deficiencies,Percent of total DALYs,0.006417167,0.003252609,0.010956333
Europe & Central Asia,2015,Under 5 years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.005412769,0.002713674,0.009461273
Europe & Central Asia,2015,Under 5 years,Both,Hepatitis,Percent of total DALYs,0.00142922,0.001211816,0.001699014
Europe & Central Asia,2015,Under 5 years,Both,Leprosy,Percent of total DALYs,9.99E-11,3.74E-11,2.12E-10
Europe & Central Asia,2015,Under 5 years,Both,Other infectious diseases,Percent of total DALYs,0.009611788,0.006801162,0.011992844
Europe & Central Asia,2015,Under 5 years,Both,Esophageal cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Stomach cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Liver cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Larynx cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Breast cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Cervical cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Uterine cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Prostate cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Colon and rectum cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Lip and oral cavity cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Nasopharynx cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Other pharynx cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Pancreatic cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Malignant skin melanoma,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Non-melanoma skin cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Ovarian cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Testicular cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Kidney cancer,Percent of total DALYs,0.001043836,0.000911578,0.001212837
Europe & Central Asia,2015,Under 5 years,Both,Bladder cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Brain and nervous system cancer,Percent of total DALYs,0.004266782,0.003594015,0.004936737
Europe & Central Asia,2015,Under 5 years,Both,Thyroid cancer,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Mesothelioma,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Hodgkin lymphoma,Percent of total DALYs,7.56E-05,6.22E-05,9.08E-05
Europe & Central Asia,2015,Under 5 years,Both,Cirrhosis hepatitis C,Percent of total DALYs,4.12E-06,3.07E-06,5.41E-06
Europe & Central Asia,2015,Under 5 years,Both,Multiple myeloma,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Leukemia,Percent of total DALYs,0.007237156,0.00619575,0.008416002
Europe & Central Asia,2015,Under 5 years,Both,Other neoplasms,Percent of total DALYs,0.004781826,0.004031471,0.005395477
Europe & Central Asia,2015,Under 5 years,Both,Rheumatic heart disease,Percent of total DALYs,0.000150827,0.000125181,0.000180316
Europe & Central Asia,2015,Under 5 years,Both,Ischemic heart disease,Percent of total DALYs,0.000170377,0.000132824,0.000221276
Europe & Central Asia,2015,Under 5 years,Both,Cerebrovascular disease,Percent of total DALYs,0.001920523,0.001519039,0.002559419
Europe & Central Asia,2015,Under 5 years,Both,Hypertensive heart disease,Percent of total DALYs,4.10E-05,3.49E-05,4.90E-05
Europe & Central Asia,2015,Under 5 years,Both,Cardiomyopathy and myocarditis,Percent of total DALYs,0.002794122,0.002442404,0.003273681
Europe & Central Asia,2015,Under 5 years,Both,Atrial fibrillation and flutter,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Aortic aneurysm,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Peripheral vascular disease,Percent of total DALYs,0,0,0
Europe & Central Asia,2015,Under 5 years,Both,Endocarditis,Percent of total DALYs,0.000583864,0.000475966,0.000743747
Europe & Central Asia,2015,Under 5 years,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.002227653,0.00172459,0.002966505
Europe & Central Asia,2015,Under 5 years,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.000963342,0.000701377,0.001560619
