Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
East Asia & Pacific - WB,2015,Under 5 years,Both,Cirrhosis and other chronic liver diseases due to alcohol use,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Cirrhosis and other chronic liver diseases due to other causes,Percent of total DALYs,0.00085528,0.000658894,0.001101349
East Asia & Pacific - WB,2015,Under 5 years,Both,Peptic ulcer disease,Percent of total DALYs,0.000116046,7.49967E-05,0.000180844
East Asia & Pacific - WB,2015,Under 5 years,Both,Gastritis and duodenitis,Percent of total DALYs,0.000198994,0.000148062,0.00026202
East Asia & Pacific - WB,2015,Under 5 years,Both,Appendicitis,Percent of total DALYs,0.000207374,0.000132028,0.000330031
East Asia & Pacific - WB,2015,Under 5 years,Both,Paralytic ileus and intestinal obstruction,Percent of total DALYs,0.001466716,0.000798305,0.002682915
East Asia & Pacific - WB,2015,Under 5 years,Both,"Inguinal, femoral, and abdominal hernia",Percent of total DALYs,0.000114387,7.76233E-05,0.000184679
East Asia & Pacific - WB,2015,Under 5 years,Both,Inflammatory bowel disease,Percent of total DALYs,0.00039487,0.00025339,0.000535396
East Asia & Pacific - WB,2015,Under 5 years,Both,Vascular intestinal disorders,Percent of total DALYs,2.73383E-05,1.76395E-05,4.19988E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Gallbladder and biliary diseases,Percent of total DALYs,0.000144177,0.000092323,0.000240059
East Asia & Pacific - WB,2015,Under 5 years,Both,Pancreatitis,Percent of total DALYs,4.16977E-05,2.93789E-05,6.03746E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Other digestive diseases,Percent of total DALYs,0.000898036,0.000609977,0.001304754
East Asia & Pacific - WB,2015,Under 5 years,Both,Alzheimer disease and other dementias,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Parkinson disease,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Epilepsy,Percent of total DALYs,0.004449135,0.003576418,0.00548858
East Asia & Pacific - WB,2015,Under 5 years,Both,Multiple sclerosis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Migraine,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Tension-type headache,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Medication overuse headache,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Motor neuron disease,Percent of total DALYs,0.000293331,0.000253631,0.000370544
East Asia & Pacific - WB,2015,Under 5 years,Both,Other neurological disorders,Percent of total DALYs,0.001114139,0.000967112,0.001351937
East Asia & Pacific - WB,2015,Under 5 years,Both,Schizophrenia,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Alcohol use disorders,Percent of total DALYs,1.67405E-05,1.07584E-05,2.48971E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Drug use disorders,Percent of total DALYs,0.000012402,1.07364E-05,1.47057E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Depressive disorders,Percent of total DALYs,0.000006991,3.10186E-06,1.29423E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Bipolar disorder,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Anxiety disorders,Percent of total DALYs,0.000328856,0.000205686,0.000482257
East Asia & Pacific - WB,2015,Under 5 years,Both,Eating disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Autistic spectrum disorders,Percent of total DALYs,0.003226603,0.002172275,0.004615879
East Asia & Pacific - WB,2015,Under 5 years,Both,Attention-deficit/hyperactivity disorder,Percent of total DALYs,7.83637E-05,4.61685E-05,0.000120107
East Asia & Pacific - WB,2015,Under 5 years,Both,Conduct disorder,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Idiopathic developmental intellectual disability,Percent of total DALYs,0.000656819,0.000276441,0.001140041
East Asia & Pacific - WB,2015,Under 5 years,Both,Other mental and substance use disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Diabetes mellitus,Percent of total DALYs,0.000322557,0.000290046,0.000362632
East Asia & Pacific - WB,2015,Under 5 years,Both,Acute glomerulonephritis,Percent of total DALYs,0.000143953,9.11496E-05,0.000178421
East Asia & Pacific - WB,2015,Under 5 years,Both,Chronic kidney disease,Percent of total DALYs,0.001591649,0.001369185,0.001892855
East Asia & Pacific - WB,2015,Under 5 years,Both,Urinary diseases and male infertility,Percent of total DALYs,0.000979535,0.000856555,0.00127296
East Asia & Pacific - WB,2015,Under 5 years,Both,Gynecological diseases,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Hemoglobinopathies and hemolytic anemias,Percent of total DALYs,0.008296065,0.006507332,0.010379294
East Asia & Pacific - WB,2015,Under 5 years,Both,"Endocrine, metabolic, blood, and immune disorders",Percent of total DALYs,0.005048071,0.004502984,0.005686865
East Asia & Pacific - WB,2015,Under 5 years,Both,Rheumatoid arthritis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Osteoarthritis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Low back and neck pain,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Gout,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Other musculoskeletal disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Congenital anomalies,Percent of total DALYs,0.160488394,0.140162856,0.184884059
East Asia & Pacific - WB,2015,Under 5 years,Both,Skin and subcutaneous diseases,Percent of total DALYs,0.021987108,0.014521451,0.031440389
East Asia & Pacific - WB,2015,Under 5 years,Both,Sense organ diseases,Percent of total DALYs,0.005353703,0.003556478,0.007629704
East Asia & Pacific - WB,2015,Under 5 years,Both,Oral disorders,Percent of total DALYs,0.00035727,0.000158993,0.000689183
East Asia & Pacific - WB,2015,Under 5 years,Both,Sudden infant death syndrome,Percent of total DALYs,0.003769989,0.002812633,0.005669656
East Asia & Pacific - WB,2015,Under 5 years,Both,Road injuries,Percent of total DALYs,0.014945759,0.012466463,0.017558661
East Asia & Pacific - WB,2015,Under 5 years,Both,Other transport injuries,Percent of total DALYs,0.001011479,0.000822092,0.001374894
East Asia & Pacific - WB,2015,Under 5 years,Both,Falls,Percent of total DALYs,0.006462685,0.003987183,0.008119363
East Asia & Pacific - WB,2015,Under 5 years,Both,Drowning,Percent of total DALYs,0.022476029,0.019056975,0.026302205
East Asia & Pacific - WB,2015,Under 5 years,Both,"Fire, heat, and hot substances",Percent of total DALYs,0.002920782,0.002253992,0.00347949
East Asia & Pacific - WB,2015,Under 5 years,Both,Poisonings,Percent of total DALYs,0.002129797,0.000748499,0.003117123
East Asia & Pacific - WB,2015,Under 5 years,Both,Exposure to mechanical forces,Percent of total DALYs,0.016466592,0.008626195,0.020606108
East Asia & Pacific - WB,2015,Under 5 years,Both,Adverse effects of medical treatment,Percent of total DALYs,0.004392884,0.003599788,0.005316252
East Asia & Pacific - WB,2015,Under 5 years,Both,Animal contact,Percent of total DALYs,0.000581765,0.000483828,0.000720455
East Asia & Pacific - WB,2015,Under 5 years,Both,Foreign body,Percent of total DALYs,0.010176281,0.007592934,0.012182472
East Asia & Pacific - WB,2015,Under 5 years,Both,Other unintentional injuries,Percent of total DALYs,0.00164629,0.001448968,0.001897212
East Asia & Pacific - WB,2015,Under 5 years,Both,Self-harm,Percent of total DALYs,6.0049E-06,3.75834E-06,8.83948E-06
East Asia & Pacific - WB,2015,Under 5 years,Both,Interpersonal violence,Percent of total DALYs,0.002599268,0.002167031,0.003346756
East Asia & Pacific - WB,2015,Under 5 years,Both,Exposure to forces of nature,Percent of total DALYs,4.64166E-05,2.78916E-05,0.000066111
East Asia & Pacific - WB,2015,Under 5 years,Both,Collective violence and legal intervention,Percent of total DALYs,4.78806E-05,1.49756E-05,8.12549E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Maternal deaths aggravated by HIV/AIDS,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Environmental heat and cold exposure,Percent of total DALYs,0.00057239,0.000425238,0.000685145
East Asia & Pacific - WB,2015,Under 5 years,Both,Ebola,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Tuberculosis,Percent of total DALYs,0.00466355,0.003646326,0.00601631
East Asia & Pacific - WB,2015,5-14 years,Both,HIV/AIDS,Percent of total DALYs,0.003692627,0.002472746,0.006326183
East Asia & Pacific - WB,2015,5-14 years,Both,Diarrheal diseases,Percent of total DALYs,0.013439911,0.011122824,0.015999046
East Asia & Pacific - WB,2015,5-14 years,Both,Intestinal infectious diseases,Percent of total DALYs,0.022720363,0.012541279,0.038003435
East Asia & Pacific - WB,2015,5-14 years,Both,Lower respiratory infections,Percent of total DALYs,0.020723145,0.016317131,0.025940096
East Asia & Pacific - WB,2015,5-14 years,Both,Upper respiratory infections,Percent of total DALYs,0.005118323,0.003070174,0.008327568
East Asia & Pacific - WB,2015,5-14 years,Both,Otitis media,Percent of total DALYs,0.007629618,0.005502451,0.010386858
East Asia & Pacific - WB,2015,5-14 years,Both,Meningitis,Percent of total DALYs,0.009266291,0.007227426,0.011204073
East Asia & Pacific - WB,2015,5-14 years,Both,Encephalitis,Percent of total DALYs,0.00576623,0.004447146,0.00719595
East Asia & Pacific - WB,2015,5-14 years,Both,Diphtheria,Percent of total DALYs,2.65347E-05,8.36734E-06,6.19173E-05
East Asia & Pacific - WB,2015,5-14 years,Both,Whooping cough,Percent of total DALYs,0.000587357,0.000129118,0.001865316
East Asia & Pacific - WB,2015,5-14 years,Both,Tetanus,Percent of total DALYs,0.000730642,0.000438733,0.00116213
East Asia & Pacific - WB,2015,5-14 years,Both,Measles,Percent of total DALYs,0.004470108,0.000700242,0.01879448
East Asia & Pacific - WB,2015,5-14 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000385578,0.000282636,0.000518827
East Asia & Pacific - WB,2015,5-14 years,Both,Malaria,Percent of total DALYs,0.008035374,0.006425694,0.010250018
East Asia & Pacific - WB,2015,5-14 years,Both,Chagas disease,Percent of total DALYs,4.50E-09,3.09E-09,6.20E-09
East Asia & Pacific - WB,2015,5-14 years,Both,Leishmaniasis,Percent of total DALYs,0.000228417,0.000132242,0.000383728
East Asia & Pacific - WB,2015,5-14 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Schistosomiasis,Percent of total DALYs,7.51245E-05,4.38508E-05,0.00017797
East Asia & Pacific - WB,2015,5-14 years,Both,Cysticercosis,Percent of total DALYs,2.11145E-06,1.39834E-06,3.07246E-06
East Asia & Pacific - WB,2015,5-14 years,Both,Cystic echinococcosis,Percent of total DALYs,0.000144033,0.000115546,0.00018055
East Asia & Pacific - WB,2015,5-14 years,Both,Lymphatic filariasis,Percent of total DALYs,0.001244889,0.000737145,0.001914875
East Asia & Pacific - WB,2015,5-14 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Trachoma,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Dengue,Percent of total DALYs,0.013564863,0.008281283,0.022883
East Asia & Pacific - WB,2015,5-14 years,Both,Yellow fever,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Rabies,Percent of total DALYs,0.001067274,0.000774599,0.001457212
East Asia & Pacific - WB,2015,5-14 years,Both,Intestinal nematode infections,Percent of total DALYs,0.007126989,0.005219597,0.009682622
East Asia & Pacific - WB,2015,5-14 years,Both,Food-borne trematodiases,Percent of total DALYs,0.002511732,0.001363325,0.004313683
East Asia & Pacific - WB,2015,5-14 years,Both,Other neglected tropical diseases,Percent of total DALYs,0.009026941,0.007494483,0.010621812
East Asia & Pacific - WB,2015,5-14 years,Both,Maternal hemorrhage,Percent of total DALYs,3.98235E-05,2.76433E-05,5.46576E-05
East Asia & Pacific - WB,2015,5-14 years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,7.21222E-06,4.58942E-06,1.07213E-05
East Asia & Pacific - WB,2015,5-14 years,Both,Maternal hypertensive disorders,Percent of total DALYs,2.46091E-05,1.66735E-05,3.40582E-05
East Asia & Pacific - WB,2015,5-14 years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,4.38101E-06,2.66503E-06,7.04642E-06
East Asia & Pacific - WB,2015,5-14 years,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total DALYs,0.000035867,2.16512E-05,0.000055136
East Asia & Pacific - WB,2015,5-14 years,Both,Indirect maternal deaths,Percent of total DALYs,8.39442E-06,4.99477E-06,1.32265E-05
East Asia & Pacific - WB,2015,5-14 years,Both,Late maternal deaths,Percent of total DALYs,2.19835E-06,9.33E-07,4.25963E-06
East Asia & Pacific - WB,2015,5-14 years,Both,Other maternal disorders,Percent of total DALYs,4.62579E-05,3.25385E-05,6.63774E-05
East Asia & Pacific - WB,2015,5-14 years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.013857806,0.010536211,0.017600613
East Asia & Pacific - WB,2015,5-14 years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.003857245,0.002539611,0.005691803
East Asia & Pacific - WB,2015,5-14 years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,0.000866927,0.000649069,0.001097581
East Asia & Pacific - WB,2015,5-14 years,Both,Other neonatal disorders,Percent of total DALYs,0.002005146,0.001387904,0.002855076
East Asia & Pacific - WB,2015,5-14 years,Both,Protein-energy malnutrition,Percent of total DALYs,0.001655595,0.001214709,0.002193582
East Asia & Pacific - WB,2015,5-14 years,Both,Iodine deficiency,Percent of total DALYs,0.00077721,0.000567818,0.001074253
East Asia & Pacific - WB,2015,5-14 years,Both,Vitamin A deficiency,Percent of total DALYs,0.000241374,0.000148828,0.000378453
East Asia & Pacific - WB,2015,5-14 years,Both,Iron-deficiency anemia,Percent of total DALYs,0.135846821,0.111893527,0.161167074
East Asia & Pacific - WB,2015,5-14 years,Both,Other nutritional deficiencies,Percent of total DALYs,0.00017094,0.000125129,0.000231657
East Asia & Pacific - WB,2015,5-14 years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.000940655,0.00053167,0.001574917
East Asia & Pacific - WB,2015,5-14 years,Both,Hepatitis,Percent of total DALYs,0.001488132,0.001304707,0.001686251
East Asia & Pacific - WB,2015,5-14 years,Both,Leprosy,Percent of total DALYs,1.60107E-06,1.24159E-06,2.03498E-06
East Asia & Pacific - WB,2015,5-14 years,Both,Other infectious diseases,Percent of total DALYs,0.007605812,0.006477745,0.00871043
East Asia & Pacific - WB,2015,5-14 years,Both,Esophageal cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Stomach cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Liver cancer,Percent of total DALYs,0.0009113,0.000692402,0.001327657
East Asia & Pacific - WB,2015,5-14 years,Both,Larynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Breast cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Cervical cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,5-14 years,Both,Uterine cancer,Percent of total DALYs,0,0,0
